Sentence,Contains Digit
Beethoven became deaf later in life.,False
A square has 4 equal sides.,True
The average human body contains 60% water.,True
Vitamin C is found in oranges.,False
Pluto was reclassified as a dwarf planet in 2006.,True
"The Nile River is approximately 4,132 miles long.",True
Penguins are flightless birds.,False
A giraffe's tongue can be over 18 inches long.,True
The human skeleton is made up of over 200 bones.,True
Kilimanjaro is the highest mountain in Africa.,False
The speed of sound is about 767 miles per hour.,True
Zero degrees Celsius is the freezing point of water.,False
J.K. Rowling wrote the Harry Potter series.,False
Hawaii is the 50th state of the USA.,True
An adult human has 5 liters of blood.,True
Sharks have been around for over 400 million years.,True
Mona Lisa has no eyebrows.,False
Your fingernails grow faster than your toenails.,False
An adult brain weighs about 1.4 kilograms.,True
Tokyo is the capital of Japan.,False
The Amazon is the world's largest rainforest.,False
Bananas are curved because they grow towards the sun.,False
A group of crows is called a murder.,False
The Great Pyramid of Giza was built for Pharaoh Khufu.,False
The internet was invented in 1969.,True
India became independent in 1947.,True
The human liver has over 500 functions.,True
Neon lights were first demonstrated in 1910.,True
George Washington was the first President of the United States.,False
Volleyball was invented in 1895.,True
A snail can sleep for three years.,False
Spain is a country in Europe.,False
The heart circulates blood throughout the body.,False
There are 118 elements in the periodic table.,True
Chameleons change color to communicate and react to temperature.,False
An adult human skeleton has 206 bones.,True
The Dead Sea is one of the saltiest bodies of water in the world.,False
Lightning strikes the Earth 100 times every second.,True
Oranges are rich in vitamin C.,False
The Great Pyramid of Giza is the oldest of the Seven Wonders of the Ancient World.,False
There are 24 hours in a day.,True
Fish breathe using gills.,False
The human eye can distinguish about 10 million colors.,True
Mount Kilimanjaro is in Tanzania.,False
Saturn is 9 times the diameter of Earth.,True
A group of kangaroos is called a mob.,False
The average lifespan of a housefly is 28 days.,True
Goldfish can remember things for up to 3 months.,True
The Amazon rainforest produces 20% of the world's oxygen.,True
Elephants can live up to 70 years.,True
A group of flamingos is called a flamboyance.,False
Ostriches have the largest eyes of any land animal.,False
Koalas sleep up to 20 hours a day.,True
The human body is made up of 60% water.,True
Sharks have been around for more than 400 million years.,True
The Earth's atmosphere is composed of 78% nitrogen.,True
The Great Barrier Reef is the world's largest coral reef system.,False
Venus rotates in the opposite direction to most planets.,False
The Pacific Ocean covers more than 30% of the Earth's surface.,True
An adult human skeleton has 206 bones.,True
"The average human heart beats 100,000 times a day.",True
New York City is nicknamed 'The Big Apple'.,False
Honey never spoils.,False
Camels can survive without water for up to 10 days.,True
Bamboo can grow up to 91 cm in one day.,True
"The Great Wall of China is over 13,000 miles long.",True
Spiders have eight legs.,False
Cherophobia is the fear of fun.,False
"Bananas are berries, but strawberries are not.",False
A group of owls is called a parliament.,False
An adult human has 32 teeth.,True
The human nose can detect over 1 trillion scents.,True
The Eiffel Tower can be 15 cm taller during the summer.,True
Antarctica is the largest desert in the world.,False
An octopus has three hearts.,False
"The longest word in English has 189,819 letters.",True
A bolt of lightning is five times hotter than the sun.,False
France was still executing people by guillotine when the first Star Wars film came out.,False
A blue whale's heart weighs approximately 400 kg.,True
Neptune takes about 165 Earth years to orbit the Sun.,True
Your fingernails grow faster than your hair.,False
Australia is wider than the moon.,False
Oxford University is older than the Aztec Empire.,False
Charlie Chaplin once won third place in a Charlie Chaplin look-alike contest.,False
Sharks are immune to all known diseases.,False
A group of crows is called a murder.,False
Venus is the only planet that rotates clockwise.,False
African elephants have larger ears than Asian elephants.,False
"Hot water freezes faster than cold water, a phenomenon known as the Mpemba effect.",False
Dolphins have names for each other.,False
Alaska is the only state that can be typed on one row of a keyboard.,False
A cat has 32 muscles in each ear.,True
An ostrich's eye is bigger than its brain.,False
The Great Wall of China is visible from space.,False
The heart of a shrimp is located in its head.,False
The tongue is the strongest muscle in the human body.,False
More people speak Mandarin Chinese than any other language.,False
A crocodile cannot stick out its tongue.,False
The Twitter bird's official name is Larry.,False
